ort_id;name;kategorie;unterkategorie;adresse;plz;stadtteil;bezirk;website;anlagetyp;anlage_hinweise;Ermäßigung;konfession;quelle;quelle_datum;verifiziert;lat;lon;notizen
KI096;Osterkirche Bramfeld;kirche;;Bramfelder Chaussee 202;22177;Bramfeld;Wandsbek;;induktion;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.609436;10.073816;
KI097;Thomaskirche Bramfeld;kirche;;Haldesdorfer Straße 28;22179;Bramfeld;Wandsbek;;induktion;Reihe 1–3;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.597011;10.069396;
KI098;Martin-Luther-King-Kirche;kirche;;Gründgensstraße 28;22309;Steilshoop;Wandsbek;;induktion;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.610005;10.059472;
KI099;St. Johannis Steilshoop;kirche;;Gründgenstraße 32;22309;Steilshoop;Wandsbek;;induktion;Ganze Kirche;;rk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.611118;10.063329;
KI100;Christophoruskirche;kirche;;Poppenbüttler Stieg 25;22339;Hummelsbüttel;Wandsbek;;induktion;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.64414;10.052079;
KI101;Neuapostolische Kirche Volksdorf;kirche;;Eulenkrugpfad 6;22359;Volksdorf;Wandsbek;;funk;Ganze Kirche;;fk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.648797;10.169562;
KI102;Heilig Kreuz Volksdorf;kirche;;Farmsener Landstraße 181;22359;Volksdorf;Wandsbek;;induktion;Ganze Kirche;;fk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.650492;10.160655;
KI103;Kirche Am Rockenhof;kirche;;Rockenhof 5;22359;Volksdorf;Wandsbek;;induktion;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.650832;10.164948;
KI104;St. Gabriel;kirche;;Sorenremen 16;22359;Volksdorf;Wandsbek;;induktion;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.6602;10.169147;
KI105;Lutherkirche Wellingsbüttel;kirche;;Up de Worth 25-27;22391;Wellingsbüttel;Wandsbek;;infrarot;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.63962;10.072528;
KI106;Neuapostolische Kirche HH-Alstertal;kirche;;Dweerblöcken 8;22393;Sasel;Wandsbek;;funk;Ganze Kirche;;fk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.652066;10.111677;
KI107;St. Bernard;kirche;;Langenstücken 40-42;22393;Poppenbüttel;Wandsbek;;induktion;;;rk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.65331;10.096557;
KI108;Vicelinkirche;kirche;;Saseler Markt 8;22393;Sasel;Wandsbek;;funk;Funkkopfhörer vorhanden;;;;;nein;53.65432;10.113608;
KI109;Matthias-Claudius-Kirche Wohldorf;kirche;;Bredenbelstraße 59;22397;Wohldorf-Ohlstedt;Wandsbek;;induktion;Mittlere Bankreihen;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.696787;10.129579;
KI110;Simon-Petrus-Kirche;kirche;;Harksheider Straße 156;22399;Poppenbüttel;Wandsbek;;induktion;Reihe 1–4 rechts;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.668553;10.066726;
KI111;Philemon-Kirche;kirche;;Poppenbüttler Weg 97;22399;Hummelsbüttel;Wandsbek;;induktion;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.651347;10.067868;
KI112;Marktkirche Poppenbüttel;kirche;;Poppenbüttler Markt 2;22399;Poppenbüttel;Wandsbek;;funk;Kinnbügelkopfhörer vorhanden;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.659245;10.085756;
KI113;St. Petri und Pauli-Kirche Bergedorf;kirche;;Bergedorfer Schloßstraße 2;21029;Bergedorf;Bergedorf;;induktion;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.489224;10.21141;
KI114;Neuapostolische Kirche Bergedorf;kirche;;Glindersweg 15;21029;Bergedorf;Bergedorf;;funk;Ganze Kirche;;fk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.487108;10.22656;
KI115;St. Michael-Kirche Bergedorf;kirche;;Gojenbergsweg 26;21029;Bergedorf;Bergedorf;;induktion;Bitte nachfragen;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.48251;10.224773;
KI116;St. Marien Bergedorf;kirche;;Reinbeker Weg 8;21029;Bergedorf;Bergedorf;;induktion;Linke Seite;;rk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.487959;10.216193;
KI117;FeG Hamburg-Bergedorf;kirche;;Schulenbrooksweg 2a;21029;Bergedorf;Bergedorf;;induktion;Ganze Kirche;;fk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.486428;10.21806;
KI118;Auferstehungskirche Lohbrügge;kirche;;Kurt-Adams-Platz 9;21031;Lohbrügge;Bergedorf;;induktion;Bitte nachfragen;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.508335;10.209376;
KI119;Erlöserkirche Lohbrügge;kirche;;Lohbrügger Kirchstraße 9;21033;Lohbrügge;Bergedorf;;induktion;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.497336;10.201374;
KI120;Neuapostolische Kirche Billwerder;kirche;;Mittlerer Landweg 43;21033;Billwerder;Bergedorf;;funk;Ganze Kirche;;fk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.499045;10.134958;
KI121;St. Christophorus Lohbrügge;kirche;;Riehlstraße 64;21033;Lohbrügge;Bergedorf;;induktion;Kirchenschiff;;rk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.496295;10.195725;
KI122;Franz-von-Assisi-Kirche;kirche;;Grachtenplatz 13;21035;Neuallermöhe;Bergedorf;;induktion;Ganze Kirche;;;;;nein;53.483057;10.174557;
KI123;St. Nicolai zu Altengamme;kirche;;Kirchenstegel 11;21039;Altengamme;Bergedorf;;induktion;Bitte nachfragen;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.429089;10.270068;
KI124;Ev.-method. Christuskirche Harburg;kirche;;Maretstraße 24a;21073;Harburg;Harburg;;induktion;Ganze Kirche;;fk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.455263;9.981406;
KI125;St. Maria Harburg;kirche;;Museumsplatz 4;21073;Harburg;Harburg;;induktion;Ganze Kirche;;rk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.459008;9.976523;
KI126;St. Paulus-Kirche Harburg;kirche;;Alter Postweg 46;21075;Harburg;Harburg;;induktion;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.465764;9.963434;
KI127;St. Petrus-Kirche Harburg;kirche;;Haakestraße 100;21075;Harburg;Harburg;;induktion;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.462057;9.954926;
KI128;Neuapostolische Kirche Harburg;kirche;;Wattenbergstraße 23;21075;Harburg;Harburg;;funk;Ganze Kirche;;fk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.462578;9.963899;
KI129;Auferstehungskirche Marmstorf;kirche;;Elfenwiese 1;21077;Marmstorf;Harburg;;induktion;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.439035;9.968447;
KI130;Apostelkirche Harburg;kirche;;Hainholzweg 52;21077;Harburg;Harburg;;induktion;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.4508;9.940891;
KI131;Neuapostolische Kirche Sinstorf;kirche;;Sinstorfer Weg 74;21077;Sinstorf;Harburg;;funk;Ganze Kirche;;fk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.426794;9.974944;
KI132;St. Pankratius Neuenfelde;kirche;;Organistenweg 7;21129;Neuenfelde;Harburg;;induktion;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.520313;9.810283;
KI133;Thomaskirche Hausbruch;kirche;;Lange Striepen 3a;21147;Hausbruch;Harburg;;induktion;Ganze Kirche;;;;;nein;53.474787;9.885767;
KI134;Neuapostolische Kirche Neugraben-Fischbek;kirche;;Cuxhavener Straße 320;21149;Neugraben-Fischbek;Harburg;;funk;Ganze Kirche;;fk;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.471938;9.857754;
KI135;Michaeliskirche Neugraben;kirche;;Cuxhavener Straße 323;21149;Neugraben-Fischbek;Harburg;;induktion;Alle Plätze unter der Kuppel;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.471864;9.855486;
KI136;Cornelius-Kirche;kirche;;Dritte Meile 1;21149;Neugraben-Fischbek;Harburg;;induktion;Ganze Kirche;;ev;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/h%C3%B6ranlagenverzeichnis/;20. Mai 2026;nein;53.473462;9.828382;
